Eb/No (dB),RS Depth 4 (BPSK),Concat 1/2 D4 (BPSK),RS Depth 4 (8PSK),Concat 1/2 D4 (8PSK),Uncoded (BPSK),Uncoded (8PSK),Uncoded (16QAM),CCSDS 4D-8PSK-TCM (BPSK),CCSDS 4D-8PSK-TCM-2.0 (BPSK),Concat 2/3 D4 (BPSK),Concat 3/4 D4 (BPSK),Concat 5/6 D4 (BPSK),Concat 7/8 D4 (BPSK),Uncoded (32APSK),Uncoded (64APSK),Uncoded (16APSK),Uncoded (64QAM),Uncoded (256QAM),Uncoded (256APSK),Uncoded (128APSK),Uncoded (128QAM),Concat 2/3 D4 (8PSK),Concat 3/4 D4 (8PSK),Concat 5/6 D4 (8PSK)
0.0,9.291144e-02,1.513663e-01,1.361817e-01,2.324785e-01,7.864699e-02,1.225447e-01,1.409300e-01,1.932642e-01,2.434798e-01,1.582288e-01,1.429338e-01,1.265739e-01,1.173237e-01,2.641192e-01,3.298880e-01,2.277469e-01,1.995896e-01,2.546698e-01,3.925114e-01,3.318856e-01,2.886983e-01,2.281833e-01,1.849771e-01,1.728931e-01
0.1,9.039360e-02,1.426918e-01,1.337739e-01,2.276863e-01,7.621579e-02,1.203536e-01,,,2.410916e-01,1.536119e-01,1.393159e-01,1.238339e-01,1.148580e-01,2.616982e-01,3.276618e-01,2.246035e-01,,,,,,2.255013e-01,1.823238e-01,1.706137e-01
0.2,8.800208e-02,1.337044e-01,1.315392e-01,2.223641e-01,7.385001e-02,1.182198e-01,,,2.386554e-01,1.490633e-01,1.359522e-01,1.214670e-01,1.123718e-01,2.588918e-01,3.255357e-01,2.219660e-01,,,,,,2.223953e-01,1.800299e-01,1.681159e-01
0.3,8.554882e-02,1.246649e-01,1.292846e-01,2.168247e-01,7.157536e-02,1.158403e-01,,,2.365039e-01,1.431860e-01,1.321695e-01,1.188696e-01,1.098201e-01,2.564508e-01,3.232242e-01,2.189005e-01,,,,,,2.202200e-01,1.779379e-01,1.655174e-01
0.4,8.302144e-02,1.171754e-01,1.267259e-01,2.110439e-01,6.944128e-02,1.136934e-01,,,2.343116e-01,1.382110e-01,1.285888e-01,1.160762e-01,1.076176e-01,2.536047e-01,3.212604e-01,2.157255e-01,,,,,,2.173230e-01,1.753987e-01,1.635861e-01
0.5,8.055983e-02,1.078159e-01,1.245222e-01,2.057253e-01,6.705245e-02,1.114716e-01,,,2.316462e-01,1.324153e-01,1.243890e-01,1.135449e-01,1.051433e-01,2.510924e-01,3.193162e-01,2.125076e-01,,,,,,2.148033e-01,1.729352e-01,1.613876e-01
0.6,7.821926e-02,9.835284e-02,1.220805e-01,1.993102e-01,6.481008e-02,1.094472e-01,,,2.290330e-01,1.264324e-01,1.203700e-01,1.106531e-01,1.027826e-01,2.486677e-01,3.174727e-01,2.097402e-01,,,,,,2.119716e-01,1.710528e-01,1.587930e-01
0.7,7.589076e-02,8.989559e-02,1.200848e-01,1.918948e-01,6.268343e-02,1.072042e-01,,,2.267933e-01,1.198209e-01,1.162514e-01,1.075899e-01,1.003047e-01,2.459870e-01,3.146829e-01,2.065083e-01,,,,,,2.089387e-01,1.682002e-01,1.566269e-01
0.8,7.344291e-02,8.130078e-02,1.176681e-01,1.844848e-01,6.050186e-02,1.049930e-01,,,2.242608e-01,1.136382e-01,1.114267e-01,1.049288e-01,9.790568e-02,2.432040e-01,3.129385e-01,2.031372e-01,,,,,,2.060557e-01,1.659832e-01,1.541825e-01
0.9,7.127959e-02,7.379182e-02,1.154267e-01,1.775917e-01,5.837295e-02,1.030434e-01,,,2.218878e-01,1.065180e-01,1.072213e-01,1.022864e-01,9.525461e-02,2.401099e-01,3.103414e-01,2.000396e-01,,,,,,2.035172e-01,1.637249e-01,1.522990e-01
1.0,6.865761e-02,6.612448e-02,1.133226e-01,1.703984e-01,5.631584e-02,1.009051e-01,1.189319e-01,1.634837e-01,2.192113e-01,9.988632e-02,1.023016e-01,9.908053e-02,9.324773e-02,2.379087e-01,3.082438e-01,1.972084e-01,1.781085e-01,2.359502e-01,3.801176e-01,3.158421e-01,2.694508e-01,2.001317e-01,1.613538e-01,1.499939e-01
1.1,6.660508e-02,5.922661e-02,1.111096e-01,1.617330e-01,5.423923e-02,9.867997e-02,,,2.169847e-01,9.266999e-02,9.794897e-02,9.626136e-02,9.084152e-02,2.348628e-01,3.059945e-01,1.939016e-01,,,,,,1.965407e-01,1.587153e-01,1.474902e-01
1.2,6.448168e-02,5.178716e-02,1.088638e-01,1.543653e-01,5.219714e-02,9.665386e-02,,,2.143821e-01,8.586803e-02,9.283058e-02,9.277865e-02,8.829397e-02,2.321975e-01,3.038428e-01,1.906465e-01,,,,,,1.934028e-01,1.561721e-01,1.453316e-01
1.3,6.228967e-02,4.525708e-02,1.067987e-01,1.453923e-01,5.028031e-02,9.447139e-02,,,2.116994e-01,7.870296e-02,8.772500e-02,8.989584e-02,8.603665e-02,2.294706e-01,3.017506e-01,1.873386e-01,,,,,,1.900936e-01,1.537203e-01,1.431248e-01
1.4,6.004701e-02,3.996542e-02,1.047488e-01,1.362089e-01,4.830831e-02,9.249634e-02,,,2.093077e-01,7.148121e-02,8.246070e-02,8.693662e-02,8.355626e-02,2.265642e-01,2.995267e-01,1.843343e-01,,,,,,1.863537e-01,1.511091e-01,1.410474e-01
1.5,5.805151e-02,3.409451e-02,1.024636e-01,1.282794e-01,4.645707e-02,9.029502e-02,,,2.067744e-01,6.454119e-02,7.720246e-02,8.333113e-02,8.134209e-02,2.237942e-01,2.970216e-01,1.815068e-01,,,,,,1.818124e-01,1.488054e-01,1.389951e-01
1.6,5.598278e-02,2.915396e-02,1.004936e-01,1.191752e-01,4.447213e-02,8.840047e-02,,,2.040236e-01,5.731970e-02,7.225077e-02,7.968821e-02,7.882053e-02,2.207660e-01,2.947280e-01,1.782134e-01,,,,,,1.781739e-01,1.458494e-01,1.366899e-01
1.7,5.389237e-02,2.362827e-02,9.845419e-02,1.110161e-01,4.276480e-02,8.642044e-02,,,2.015182e-01,5.154752e-02,6.667451e-02,7.617526e-02,7.611493e-02,2.181268e-01,2.921788e-01,1.749170e-01,,,,,,1.735682e-01,1.435786e-01,1.343202e-01
1.8,5.184042e-02,1.653844e-02,9.622194e-02,1.024499e-01,4.094964e-02,8.454203e-02,,,1.988349e-01,4.547954e-02,6.140269e-02,7.271209e-02,7.349323e-02,2.152545e-01,2.899778e-01,1.714272e-01,,,,,,1.687250e-01,1.404156e-01,1.322946e-01
1.9,4.981310e-02,9.971803e-03,9.414472e-02,9.398957e-02,3.923535e-02,8.250763e-02,,,1.960064e-01,3.994620e-02,5.603346e-02,6.904233e-02,7.057759e-02,2.125465e-01,2.874594e-01,1.683297e-01,,,,,,1.638884e-01,1.375642e-01,1.298201e-01
2.0,4.798293e-02,4.785500e-03,9.215485e-02,8.546031e-02,3.757212e-02,8.056826e-02,9.774626e-02,1.347579e-01,1.935239e-01,3.406234e-02,5.107609e-02,6.473649e-02,6.832025e-02,2.094639e-01,2.851736e-01,1.654836e-01,1.570119e-01,2.168950e-01,3.671692e-01,2.991521e-01,2.498198e-01,1.586757e-01,1.349296e-01,1.280262e-01
2.1,4.619751e-02,1.759658e-03,9.022368e-02,7.733592e-02,3.579250e-02,7.871602e-02,,,1.907735e-01,2.931027e-02,4.620757e-02,6.035922e-02,6.519165e-02,2.067649e-01,2.832274e-01,1.621518e-01,,,,,,1.529612e-01,1.315898e-01,1.257121e-01
