Eb/No (dB),RS Depth 4 (BPSK),Concat 1/2 D4 (BPSK),RS Depth 4 (8PSK),Concat 1/2 D4 (8PSK),Uncoded (BPSK),Uncoded (8PSK),Uncoded (16QAM),CCSDS 4D-8PSK-TCM (BPSK),CCSDS 4D-8PSK-TCM-2.0 (BPSK),Concat 2/3 D4 (BPSK),Concat 3/4 D4 (BPSK),Concat 5/6 D4 (BPSK),Concat 7/8 D4 (BPSK),Uncoded (32APSK),Uncoded (64APSK),Uncoded (16APSK),Uncoded (64QAM),Uncoded (256QAM),Uncoded (256APSK),Uncoded (128APSK),Uncoded (128QAM),Concat 2/3 D4 (8PSK),Concat 3/4 D4 (8PSK),Concat 5/6 D4 (8PSK)
0.0,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00
0.1,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,1.000000e+00,1.000000e+00,1.000000e+00
0.2,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,1.000000e+00,1.000000e+00,1.000000e+00
0.3,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,1.000000e+00,1.000000e+00,1.000000e+00
0.4,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,1.000000e+00,1.000000e+00,1.000000e+00
0.5,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,1.000000e+00,1.000000e+00,1.000000e+00
0.6,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,1.000000e+00,1.000000e+00,1.000000e+00
0.7,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,1.000000e+00,1.000000e+00,1.000000e+00
0.8,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,1.000000e+00,1.000000e+00,1.000000e+00
0.9,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,1.000000e+00,1.000000e+00,1.000000e+00
